First   Last    T1     T2     T3     T4    Final   Avg    Grade

Julio   Garcia  76     88     90     91.75  85     86.15    B      
Kim     Nguyen  95     98.5   98     100    97.5   97.8     A      
Jesus   Ramirez 77.5   82     85     78     86     81.7     B      
Christy Knight  86     89.25  92     90     94.75  90.4     A      
Sam     Bush    70     75.5   77     79     81.25  76.55    C      
Laura   Landers 95.5   97     96     92.75  94     95.05    A      
Sally   Mendoza 97     99     98.25  95     99     97.65    A      
Ethan   Nadler  91     93.25  90     89     92.5   91.15    A      
Tony    Templar 85     82     88.75  84     90     85.95    B      
Paula   Whyte   97.5   89     65.75  82     98.5   86.55    B      
Juan    Moreno  86     88     85.25  90     95     88.85    B      
John    Kemper  52     82     79     88.5   85     77.3     C      
Jane    Le      90     93     91     92.75  94     92.15    A      
William Palmer  95     97     95.75  90     92     93.95    A      
George  Franco  89     81.5   75     85.25  88     83.75    B      
Tony    White   75.5   78     85     88     84     82.1     B      
Sam     Able    88     90     86.75  91     93.5   89.85    B      
Barbara Brown   99     95     98     96.5   97     97.1     A      
Alan    Ernst   76     79.5   57     82     84.25  75.75    C      
Ronda   Farmer  84.75  87     80     85     86     84.55    B      
Bill    Wayne   75.5   78     85     88     84     82.1     B      
Tilly   West    88     90     86.75  91     93.5   89.85    B      
Bobby   Best    99     97     98     98.5   98.5   98.2     A      
Thomas  Moore   76     79.5   57     82     84.25  75.75    C      
Henry   Frank   84.75  87     80     85     86     84.55    B      
Andrew  Miller  87.5   89     65.75  37     98.5   75.55    C      
John    Doe     86     88     85.25  90     95     88.85    B      
John    Smith   52     82     79     88.5   85     77.3     C      
Jane    Deer    90     93     91     92.75  94     92.15    A      
William Clinton 95     97     95.75  90     92     93.95    A      
George  Jones   89     81.5   75     85.25  88     83.75    B      
Sarah   White   75.5   78     85     88     84     82.1     B      
Bill    Able    88     90     86.75  91     93.5   89.85    B      
Larry   Brown   99     95     98     96.5   97     97.1     A      
Amanda  Ernst   76     79.5   77     82     84.25  79.75    C      
Richard Farmer  84.75  87     80     85     86     84.55    B      
Sam     Green   87     91.75  85     88     90     88.35    B      
Paula   Hamilton98     100    97.5   95     98.5   97.8     A      
Jesus   Javiar  77.5   82     85     78     86     81.7     B      
Christy King    86     89.25  92     90     94.75  90.4     A      
Bob     Bush    70     75.5   77     79     81.25  76.55    C      
Jerry   Landers 95.5   97     96     92.75  94     95.05    A      
Sally   Moore   97     99     98.25  94     99     97.45    A      
Nancy   Nadler  91     93.25  90     89     92.5   91.15    A      
Tina    Templar 85     82     88.75  84     90     85.95    B      


Test Averages:  85.31  88.13  85.52  87.35  90.82  
Highest Grade:  99     100    98.25  100    99     
Total Average:  0.04317

Highest Avg:    98.2   Bobby Best
